"","Z_score","log_fc","se","paramindex_best","conv","p_val"
"Zfhx3",4.4420544015594,4.21366456378113,0.948584637392534,3,TRUE,0.000124745633051025
"Npy",4.43273883088144,7.14574823621441,1.61203908212059,14,TRUE,0.000130260964431825
"Ckmt1",4.42604235622075,-4.21030662931172,0.951257645194963,15,TRUE,0.000134368760909725
"Cdk14",4.4158174201317,5.06944766472899,1.14802021515142,14,TRUE,0.000140880593705576
"Kremen1",4.38549248514926,-7.42418125118059,1.69289567279418,3,TRUE,0.000162013114938244
"Cdh13",4.36909980637608,-7.24919230084869,1.65919585775302,3,TRUE,0.000174663638838967
"Rab25",4.36649752402993,-4.1866108889072,0.958802991612209,14,TRUE,0.000176756605788315
"Nrg1",4.35220522408686,-7.19578444344771,1.65336515006768,15,TRUE,0.000188685018905104
"Nr4a2",4.3499893980093,-17.7276511671929,4.07533203995983,10,TRUE,0.000190601759813693
"Rab24",4.34947992560094,-3.06051250063002,0.703650218642443,5,TRUE,0.000191045084014461
"Ntn1",4.33206968903133,9.6457411734832,2.2265895670852,14,TRUE,0.000206799834943257
"Elovl7",4.32571119794322,-9.04398561616424,2.09075113948071,3,TRUE,0.000212856722128926
"Acta2",4.31378319784753,5.34862900474224,1.23989286420585,13,TRUE,0.000224678064876995
"Tcn2",4.31291229103741,-9.12389797867287,2.11548423964779,4,TRUE,0.000225565266627755
"Ahdc1",4.30720832540387,-3.96568823828464,0.920709642692473,15,TRUE,0.000231459042228713
"Nasp",4.29944494110467,-1.82059127942809,0.423447980929444,12,TRUE,0.000239716968944355
"Plxdc2",4.28781646826194,-5.35294388049871,1.24840788315469,3,TRUE,0.000252613312416928
"Cntnap2",4.26144684544408,-6.05350748360847,1.42052868501229,13,TRUE,0.000284350732308829
"Col1a1",4.24787779936583,-3.23016946710093,0.760419583534904,10,TRUE,0.000302127063937952
"Abcc4",4.24625799806872,15.7915143840224,3.7189248489387,14,TRUE,0.000304318448876574
"Txndc17",4.23663039652724,-5.68787153751733,1.34254608147542,3,TRUE,0.000317658842749702
"Rbbp8",4.23220835496062,-3.37942665251827,0.798501956681126,15,TRUE,0.000323971033527464
"Ptprt",4.23107443814426,-9.91397529409385,2.34313421780452,4,TRUE,0.000325608754387244
"Mylpf",4.21549789750004,-2.1627072046934,0.513037192113409,5,TRUE,0.000348918799849428
"Ggct",4.21389192782569,-21.7111211883187,5.15227290119929,3,TRUE,0.000351410397637525
"Selenom",4.20104040218612,-2.52674400651962,0.601456726101649,12,TRUE,0.000371967632958141
"Nsg1",4.19388404999975,-6.26767862052963,1.49448066417812,8,TRUE,0.000383905465093849
"Pdpn",4.18168327374769,-6.25643463056383,1.4961522002016,13,TRUE,0.000405102417225747
"Dgka",4.18029655661336,-3.3514358074343,0.801722021881971,5,TRUE,0.000407580842580528
"Col9a2",4.15922652101965,36.2402995328805,8.71323053691149,6,TRUE,0.000447057937321363
"Lgr6",4.15200621315969,6.9191369131717,1.66645630038839,11,TRUE,0.00046140263669226
"Entpd5",4.151099408467,6.08694779672388,1.46634594784898,14,TRUE,0.00046323480156156
"Sidt1",4.14904446405133,-13.2142464003082,3.18488907863021,4,TRUE,0.000467412349143972
"Rab3ip",0,0,0,0,TRUE,0.000480521307491599
