"","Z_score","log_fc","se","paramindex_best","conv","p_val"
"Tnfrsf12a",4.3033938621229,1.87570714138113,0.435866946293368,13,TRUE,0.000235482022952028
"Amn1",4.29135750294975,-3.27323036945645,0.762749402073012,8,TRUE,0.000248617803088625
"Cdk14",4.2648414698746,2.92491564284744,0.685820484420829,2,TRUE,0.000280061861093976
"Nhp2",4.20426063441108,-2.20918600565245,0.525463618399555,8,TRUE,0.000366711759304537
"Cpt2",4.20071408250742,5.10668959890077,1.21567178784341,8,TRUE,0.000372504212084588
"Ecd",4.17543175908187,-3.02582562590103,0.724673710525777,8,TRUE,0.000416389967600242
"Poldip3",4.17322887060483,-2.08321632271742,0.499185735388507,7,TRUE,0.000420438187411226
"Psat1",4.13287547018083,4.07152563511632,0.985155653610385,2,TRUE,0.000501553993135817
"Ndufb2",4.12670298867957,-2.92089298623386,0.707803055913277,3,TRUE,0.000515201654093471
"Crat",4.10863846898785,2.2348096409403,0.543929493385394,8,TRUE,0.000557197967822652
"Ablim3",4.10107778179001,3.29486403187514,0.803414177245139,2,TRUE,0.00057572240849749
"Srm",4.0867462072691,3.30316794859802,0.808263538049578,2,TRUE,0.000612451294479896
"Tmem167",4.07452614541964,1.52919244121161,0.3753055905484,9,TRUE,0.000645513865311525
"Hacd1",4.05689857585878,2.26441966118224,0.558165213854996,8,TRUE,0.000696201294906912
"Ppp1r3c",4.03963267216988,3.98618304703837,0.986768691742756,8,TRUE,0.000749489700738323
"Thrsp",4.03728743468982,-5.22653716313765,1.2945665246,2,TRUE,0.00075701922326551
"Lrrc14b",4.03551472845316,5.15662871790494,1.27781189386998,8,TRUE,0.000762758101368911
"Fmc1",4.00766024018258,-2.96554936704438,0.739970254292134,2,TRUE,0.000858525552790325
"Olfm5",0,0,0,0,TRUE,0.000920099113722882
